difficulty,gnn_success_rate,gnn_collision_rate,gnn_time_efficiency,gnn_move_efficiency,gnn_avg_episode_length,predictive_h1_success_rate,predictive_h1_collision_rate,predictive_h1_time_efficiency,predictive_h1_move_efficiency,predictive_h1_avg_episode_length
medium,0.63,0.23,0.9619926590164685,0.961000595524405,13.33,0.84,0.16,0.9804639804639805,0.9772893772893774,5.86
hard,0.53,0.47,0.9251703974475608,0.9213586955226514,8.9,0.66,0.34,1.005260942760943,1.0,6.16
