step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 8]","[7, 7]",3,left,-0.18,running,1,2.0,8
2,"[7, 7]","[7, 6]",3,left,-0.17,running,2,3.0,7
3,"[7, 6]","[7, 5]",3,left,-0.16,running,3,3.0,6
4,"[7, 5]","[7, 4]",3,left,-0.15000000000000002,running,4,3.0,5
5,"[7, 4]","[7, 3]",3,left,-0.14,running,5,3.0,4
6,"[7, 3]","[8, 3]",2,down,-0.13,running,6,3.0,3
7,"[8, 3]","[8, 2]",3,left,-0.12000000000000001,running,7,3.0,2
8,"[8, 2]","[8, 1]",3,left,-0.11,running,8,3.0,1
9,"[8, 1]","[9, 1]",2,down,-0.12000000000000001,running,9,3.0,2
10,"[9, 1]","[9, 0]",3,left,-0.11,running,10,3.0,1
11,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,11,3.0,2
12,"[9, 1]","[9, 0]",3,left,-0.11,running,12,3.0,1
13,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,13,1.0,2
14,"[9, 1]","[9, 0]",3,left,-0.11,running,14,2.0,1
15,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,15,1.0,2
16,"[9, 1]","[9, 0]",3,left,-0.11,running,16,3.0,1
17,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,17,3.0,2
18,"[9, 1]","[9, 0]",3,left,-0.11,running,18,3.0,1
19,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,19,2.0,2
20,"[9, 1]","[9, 0]",3,left,-0.11,running,20,2.0,1
21,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,21,2.0,2
22,"[9, 1]","[9, 0]",3,left,-0.11,running,22,3.0,1
23,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,23,3.0,2
24,"[9, 1]","[9, 0]",3,left,-0.11,running,24,3.0,1
25,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,25,3.0,2
26,"[9, 1]","[9, 0]",3,left,-0.11,running,26,5.0,1
27,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,27,3.0,2
28,"[9, 1]","[9, 0]",3,left,-0.11,running,28,5.0,1
29,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,29,4.0,2
30,"[9, 1]","[9, 0]",3,left,-0.11,running,30,5.0,1
31,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,31,4.0,2
32,"[9, 1]","[9, 0]",3,left,-0.11,running,32,5.0,1
33,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,33,4.0,2
34,"[9, 1]","[9, 0]",3,left,-0.11,running,34,5.0,1
35,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,35,3.0,2
36,"[9, 1]","[9, 0]",3,left,-0.11,running,36,3.0,1
37,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,37,3.0,2
38,"[9, 1]","[9, 0]",3,left,-0.11,running,38,3.0,1
39,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,39,1.0,2
40,"[9, 1]","[9, 0]",3,left,-0.11,running,40,1.0,1
41,"[9, 0]","[9, 1]",4,right,-0.12000000000000001,running,41,1.0,2
42,"[9, 1]","[9, 0]",3,left,-10.11,collision,42,0.0,1
