step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[8, 7]","[7, 7]",1,up,-0.19,running,1,3.0,9
2,"[7, 7]","[6, 7]",1,up,-0.18,running,2,3.0,8
3,"[6, 7]","[5, 7]",1,up,-0.17,running,3,2.0,7
4,"[5, 7]","[4, 7]",1,up,-0.16,running,4,2.0,6
5,"[4, 7]","[3, 7]",1,up,-0.15000000000000002,running,5,2.0,5
6,"[3, 7]","[3, 8]",4,right,-0.14,running,6,1.0,4
7,"[3, 8]","[3, 9]",4,right,-0.13,running,7,1.0,3
8,"[3, 9]","[3, 10]",4,right,-0.12000000000000001,running,8,1.0,2
9,"[3, 10]","[2, 10]",1,up,-0.11,running,9,1.0,1
10,"[2, 10]","[2, 11]",4,right,9.9,success,10,3.0,0
