step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[4, 3]","[3, 3]",1,up,-0.12000000000000001,running,1,3.0,2
2,"[3, 3]","[2, 3]",1,up,-0.11,running,2,4.0,1
3,"[2, 3]","[1, 3]",1,up,-0.12000000000000001,running,3,4.0,2
4,"[1, 3]","[0, 3]",1,up,-0.13,running,4,4.0,3
5,"[0, 3]","[1, 3]",2,down,-0.12000000000000001,running,5,2.0,2
6,"[1, 3]","[2, 3]",2,down,-0.11,running,6,2.0,1
7,"[2, 3]","[1, 3]",1,up,-0.12000000000000001,running,7,2.0,2
8,"[1, 3]","[2, 3]",2,down,-0.11,running,8,2.0,1
9,"[2, 3]","[1, 3]",1,up,-0.12000000000000001,running,9,2.0,2
10,"[1, 3]","[0, 3]",1,up,-0.13,running,10,4.0,3
11,"[0, 3]","[1, 3]",2,down,-0.12000000000000001,running,11,4.0,2
12,"[1, 3]","[0, 3]",1,up,-0.13,running,12,6.0,3
13,"[0, 3]","[0, 4]",4,right,-0.12000000000000001,running,13,6.0,2
14,"[0, 4]","[1, 4]",2,down,-0.11,running,14,6.0,1
15,"[1, 4]","[0, 4]",1,up,-0.12000000000000001,running,15,6.0,2
16,"[0, 4]","[1, 4]",2,down,-0.11,running,16,4.0,1
17,"[1, 4]","[0, 4]",1,up,-0.12000000000000001,running,17,4.0,2
18,"[0, 4]","[1, 4]",2,down,-0.11,running,18,2.0,1
19,"[1, 4]","[0, 4]",1,up,-0.12000000000000001,running,19,2.0,2
20,"[0, 4]","[1, 4]",2,down,-10.11,collision,20,0.0,1
