step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[2, 7]","[3, 7]",2,down,-0.12000000000000001,running,1,5.0,2
2,"[3, 7]","[4, 7]",2,down,-0.11,running,2,7.0,1
3,"[4, 7]","[3, 7]",1,up,-0.12000000000000001,running,3,6.0,2
4,"[3, 7]","[4, 7]",2,down,-0.11,running,4,6.0,1
5,"[4, 7]","[5, 7]",2,down,-0.12000000000000001,running,5,8.0,2
6,"[5, 7]","[4, 7]",1,up,-0.11,running,6,6.0,1
7,"[4, 7]","[3, 7]",1,up,-0.12000000000000001,running,7,5.0,2
8,"[3, 7]","[4, 7]",2,down,-0.11,running,8,5.0,1
9,"[4, 7]","[4, 6]",3,left,9.9,success,9,3.0,0
