global_step,loss,policy_loss,value_loss,entropy,aux_loss,episode_return
256.0,1.9986876249313354,-0.13217554986476898,4.291057586669922,1.4665775299072266,0.0,-6.010000000000001
512.0,7.103959083557129,-0.068997323513031,14.375093460083008,1.4590237140655518,0.0,-5.555263157894736
768.0,3.8455467224121094,-0.1622704118490219,8.0428466796875,1.3606312274932861,0.0,-6.74375
1024.0,4.514018535614014,0.0158049575984478,9.0250244140625,1.429826259613037,0.0,-8.200000000000001
1280.0,4.6744232177734375,-0.016339443624019623,9.409549713134766,1.401233196258545,0.0,-6.946428571428574
1536.0,3.6392509937286377,-0.07620985060930252,7.459120750427246,1.4099547863006592,0.0,-7.437142857142858
1792.0,2.0873377323150635,0.0878780260682106,4.027278423309326,1.4179524183273315,0.0,-10.341428571428569
2048.0,3.608137607574463,-0.18414534628391266,7.612847805023193,1.4140925407409668,0.0,-6.449999999999999
2304.0,2.735175609588623,0.1102144867181778,5.278293132781982,1.4185365438461304,0.0,-5.078999999999999
2560.0,3.445964813232422,0.18541832268238068,6.548452377319336,1.3679696321487427,0.0,-9.123846153846156
2816.0,2.2822391986846924,0.1446017473936081,4.301217079162598,1.2971259355545044,0.0,-5.070714285714287
3072.0,4.498964786529541,0.1500084549188614,8.722797393798828,1.2442647218704224,0.0,-6.054615384615385
3328.0,3.0821666717529297,0.08092674612998962,6.027318000793457,1.2418886423110962,0.0,-8.117333333333333
3584.0,2.564134120941162,0.0703669935464859,5.013823986053467,1.3144950866699219,0.0,-8.24375
3840.0,1.8638131618499756,-0.026912227272987366,3.8074307441711426,1.298997402191162,0.0,-10.178888888888887
4096.0,3.7688608169555664,-0.04699677601456642,7.659012317657471,1.364858865737915,0.0,-6.942500000000001
4352.0,1.9428969621658325,-0.09816493839025497,4.108705520629883,1.3290880918502808,0.0,-9.542000000000002
4608.0,3.4009902477264404,0.05959036201238632,6.710511207580566,1.385577917098999,0.0,-6.970714285714286
4864.0,3.458740234375,-0.1276707947254181,7.201534748077393,1.4356361627578735,0.0,-5.991538461538462
5120.0,0.8653603196144104,-0.026205509901046753,1.81058931350708,1.372877836227417,0.0,-5.72
5376.0,4.217228889465332,0.04461807757616043,8.371858596801758,1.331852674484253,0.0,-6.9664285714285725
5632.0,2.1646928787231445,0.1350681036710739,4.085664749145508,1.3207612037658691,0.0,-5.5200000000000005
5888.0,5.848629474639893,0.2149297595024109,11.295904159545898,1.4252312183380127,0.0,-0.48800000000000004
6144.0,3.460696220397949,0.039931520819664,6.869415283203125,1.3942855596542358,0.0,-7.1675
6400.0,3.011845827102661,0.00980430282652378,6.031115531921387,1.3516227006912231,0.0,-8.109375
6656.0,1.4202083349227905,-0.09329694509506226,3.053795099258423,1.3392274379730225,0.0,-10.072
6912.0,7.593512535095215,-0.02520919218659401,15.264328956604004,1.344238042831421,0.0,-3.718571428571429
7168.0,3.8263139724731445,-0.05209622532129288,7.78334903717041,1.3264496326446533,0.0,-7.859333333333334
7424.0,2.5025973320007324,-0.042462293058633804,5.1179585456848145,1.3919651508331299,0.0,-6.987272727272728
7680.0,3.7101688385009766,-0.05432654917240143,7.555606842041016,1.3308149576187134,0.0,-5.367857142857143
7936.0,3.090365409851074,-0.10177921503782272,6.41107177734375,1.339115023612976,0.0,-6.96
8192.0,2.967420816421509,0.06509676575660706,5.8321146965026855,1.373335838317871,0.0,-4.038
8448.0,7.307267665863037,-0.07873101532459259,14.798141479492188,1.3071919679641724,0.0,-5.9944444444444445
8704.0,2.8005077838897705,-0.02643880434334278,5.678127288818359,1.2117254734039307,0.0,-8.3275
8960.0,2.9400110244750977,0.05571119487285614,5.7949371337890625,1.316885232925415,0.0,-6.0515384615384615
9216.0,4.647030830383301,-0.09573788195848465,9.510805130004883,1.2633960247039795,0.0,-6.413333333333333
9472.0,2.9400882720947266,0.11908847093582153,5.666744232177734,1.2372238636016846,0.0,-7.104545454545455
9728.0,2.3347434997558594,-0.007328718900680542,4.707452774047852,1.1654248237609863,0.0,-7.270714285714287
9984.0,1.1634351015090942,-0.08799844980239868,2.5258913040161133,1.1512105464935303,0.0,-9.253846153846153
