global_step,aux_loss,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
2048.0,0.0,1.516341209411621,-5.265666666666666,2.316342353820801,-0.03464798629283905,-0.06318400055170059,1.0927302837371826,-2.527359962463379,-2.255063533782959,4.310635089874268,4.710361480712891,9.5252685546875,-1.970703125,-2.2169313430786133,0.6060142517089844,0.5546875
4096.0,0.0,1.488071084022522,-7.113425925925926,1.2668662071228027,0.09361161291599274,-0.16316083073616028,1.1627957820892334,-4.062256813049316,-3.353207588195801,3.350804090499878,3.896301031112671,4.812064170837402,-2.392578125,-2.944654941558838,1.77646803855896,1.52734375
6144.0,0.0,1.4540355205535889,-6.05375,0.8470922708511353,0.025440718978643417,-0.25829678773880005,1.2497605085372925,-3.9685988426208496,-2.9688100814819336,3.714724063873291,4.642515659332275,3.4029290676116943,-2.59375,-3.4999263286590576,2.544682741165161,2.037109375
8192.0,0.0,1.4334365129470825,-6.833333333333332,0.7440073490142822,0.015760697424411774,-0.3507993817329407,1.3267673254013062,-3.9584004878997803,-2.7190914154052734,3.264392375946045,4.331089496612549,3.0276613235473633,-2.359375,-3.4816136360168457,2.60062313079834,1.9599609375
10240.0,0.0,1.4222712516784668,-4.693095238095238,1.016744613647461,0.01593872904777527,-0.40991532802581787,1.424382209777832,-2.7154366970062256,-1.6186115741729736,3.673619270324707,5.232637882232666,4.117005348205566,-1.1416015625,-2.0363056659698486,3.02944016456604,2.126953125
12288.0,0.0,1.386462688446045,-4.546206896551725,0.7713523507118225,-0.01604541763663292,-0.45220354199409485,1.510233759880066,-2.1014440059661865,-1.092043161392212,3.2177975177764893,4.859626770019531,3.2605080604553223,-1.626953125,-2.909013271331787,2.6772334575653076,1.7724609375
14336.0,0.0,1.3400685787200928,-3.9610344827586217,0.8479742407798767,-0.04083961620926857,-0.5004335641860962,1.6218464374542236,-2.381404399871826,-1.159771203994751,3.6848106384277344,5.976197719573975,3.6624608039855957,-1.02734375,-2.1665377616882324,3.4680168628692627,2.138671875
16384.0,0.0,1.2992709875106812,-1.0498648648648647,0.8608511686325073,-0.042593181133270264,-0.4806784987449646,1.7292258739471436,0.28976866602897644,0.445544570684433,3.422612190246582,5.918469429016113,3.717719078063965,0.47216796875,0.3356938362121582,3.1342530250549316,1.8125
18432.0,0.0,1.2332831621170044,-0.6721604938271604,0.7241914868354797,0.02617408148944378,-0.45031166076660156,1.8441734313964844,0.7339950799942017,0.6421884298324585,3.4317119121551514,6.328671932220459,2.8907322883605957,0.83349609375,1.0867297649383545,3.9196388721466064,2.125
20480.0,0.0,1.2157549858093262,0.9361490683229815,0.5369632244110107,-0.11676894128322601,-0.3873167634010315,1.9495272636413574,2.0694854259490967,1.2602040767669678,3.1083450317382812,6.059803485870361,2.712189197540283,2.001953125,3.5172369480133057,3.3571600914001465,1.7216796875
22528.0,0.0,1.144169569015503,2.327971698113208,0.8230211734771729,0.016570528969168663,-0.29197636246681213,2.069456100463867,3.4262990951538086,1.7967402935028076,3.2609164714813232,6.748323917388916,3.317336320877075,1.6083984375,3.0370030403137207,3.805138349533081,1.8388671875
24576.0,0.0,1.0857057571411133,3.231933962264151,0.7638843655586243,-0.029531778767704964,-0.17974387109279633,2.1714839935302734,4.197323799133301,2.0157032012939453,2.8331165313720703,6.152067184448242,3.2605209350585938,2.478515625,5.200596332550049,3.102734088897705,1.4287109375
26624.0,0.0,1.023653268814087,4.558452380952381,0.4343586564064026,-0.08540625870227814,-0.037888675928115845,2.267063617706299,5.494463920593262,2.4403164386749268,2.6448874473571777,5.996128559112549,2.160951852798462,2.6796875,6.036611080169678,2.7510666847229004,1.2138671875
28672.0,0.0,0.9464895725250244,4.604612546125462,0.732088565826416,0.03968358784914017,0.09903357177972794,2.3672704696655273,5.439001083374023,2.255748748779297,2.6515204906463623,6.2768659591674805,2.845339059829712,2.396484375,5.771827220916748,2.6148321628570557,1.1044921875
30720.0,0.0,0.8594592809677124,4.971919191919192,0.5730755925178528,-0.002501226030290127,0.2460949718952179,2.4556477069854736,5.981489181518555,2.3355934619903564,2.404170513153076,5.903796195983887,2.3710641860961914,2.2890625,5.86798620223999,2.743640422821045,1.1171875
32768.0,0.3235580027103424,0.7945267558097839,5.004983818770226,0.4215134382247925,-0.01619112305343151,0.3971884846687317,2.5414845943450928,6.289834022521973,2.3185839653015137,2.3177621364593506,5.890556812286377,1.814380407333374,2.384765625,6.455655574798584,2.9708364009857178,1.1689453125
34816.0,0.3144449293613434,0.8060910105705261,5.607333333333333,0.2908271551132202,-0.034303806722164154,0.556473970413208,2.614351987838745,6.768608093261719,2.3761658668518066,2.087519645690918,5.4575114250183105,1.365011215209961,2.146484375,6.167737007141113,2.804798126220703,1.0732421875
36864.0,0.309821218252182,0.7481291890144348,5.46702380952381,0.4249798655509949,-0.010762138292193413,0.7076681852340698,2.696343183517456,6.604241371154785,2.186877965927124,2.186453104019165,5.895427703857422,1.8028182983398438,2.1015625,6.375171661376953,2.764185905456543,1.025390625
38912.0,0.3021892309188843,0.704632580280304,5.1016616314199394,0.4203193783760071,-0.010746746324002743,0.8497974872589111,2.7778513431549072,6.392838001251221,1.9954417943954468,2.1448659896850586,5.958118915557861,1.780635118484497,1.9150390625,6.169440746307373,2.759084701538086,0.9931640625
40960.0,0.2991800010204315,0.6626937985420227,5.4226857142857146,0.2824414372444153,-0.054354242980480194,0.9946109652519226,2.8551347255706787,6.642336368560791,1.978094220161438,2.056161880493164,5.870619297027588,1.400198221206665,1.73828125,5.958465576171875,3.0759174823760986,1.0771484375
43008.0,0.2940926253795624,0.675403892993927,5.080906148867314,0.28591302037239075,-0.055745624005794525,1.1278132200241089,2.9310221672058105,6.322700023651123,1.7723805904388428,2.0102436542510986,5.892069339752197,1.4206669330596924,1.9775390625,6.924306869506836,2.6979708671569824,0.92041015625
45056.0,0.2910591959953308,0.7112141847610474,6.075787965616047,0.31126242876052856,0.023396272212266922,1.2775272130966187,2.9918737411499023,7.116368293762207,1.9515666961669922,1.7936553955078125,5.366390228271484,1.2083617448806763,2.083984375,7.5101776123046875,2.418919324874878,0.80859375
47104.0,0.28738537430763245,0.7175931930541992,4.991676470588236,0.23932842910289764,-0.0816400796175003,1.4078631401062012,3.070652961730957,6.490965366363525,1.6553815603256226,2.0010523796081543,6.144537925720215,1.3412814140319824,1.63671875,6.432443618774414,3.134246349334717,1.0205078125
49152.0,0.28587451577186584,0.6517546772956848,5.0633147632311974,0.5103520750999451,0.07651574164628983,1.5250203609466553,3.1521482467651367,6.094151496887207,1.4495292901992798,2.008789300918579,6.33200216293335,1.7874858379364014,1.43359375,6.044553756713867,2.746602773666382,0.87158203125
51200.0,0.28382766246795654,0.630185604095459,5.815654761904763,0.19340720772743225,-0.03276015818119049,1.6556814908981323,3.216083526611328,6.75146484375,1.5844684839248657,1.775744915008545,5.710943698883057,0.9550843238830566,1.533203125,6.585649490356445,3.059340000152588,0.951171875
53248.0,0.2826121747493744,0.5969893932342529,6.320402298850575,0.04527597874403,-0.13857978582382202,1.794889211654663,3.267120838165283,7.223985195159912,1.6617372035980225,1.6096299886703491,5.25885534286499,0.7831822037696838,1.3623046875,6.2445783615112305,3.006908655166626,0.92041015625
55296.0,0.2801428735256195,0.6091039180755615,6.299677419354839,0.3937605917453766,0.06045890226960182,1.9251576662063599,3.3224434852600098,7.005624771118164,1.5291359424591064,1.6497987508773804,5.481363296508789,1.3819351196289062,1.4775390625,6.835430145263672,2.308732509613037,0.69482421875
57344.0,0.2791973054409027,0.5920624732971191,6.582088235294117,0.16741962730884552,-0.014585345983505249,2.064885377883911,3.358180046081543,7.514265060424805,1.6227182149887085,1.4153692722320557,4.7530646324157715,0.7753849029541016,1.615234375,7.488825798034668,2.124439001083374,0.6328125
59392.0,0.27800923585891724,0.5931650400161743,5.651056910569105,0.15219220519065857,-0.04691394045948982,2.1882097721099854,3.416280746459961,6.99786376953125,1.407862663269043,1.6636782884597778,5.683591842651367,0.8438777923583984,1.4130859375,7.0168867111206055,2.5546722412109375,0.74755859375
61440.0,0.2769392728805542,0.5776734948158264,6.156263736263736,0.178752601146698,-0.029177941381931305,2.3142690658569336,3.466325044631958,7.230578422546387,1.4183058738708496,1.563435435295105,5.419375419616699,0.877936065196991,1.31640625,6.876830577850342,2.9226908683776855,0.84326171875
63488.0,0.2752320468425751,0.5222848653793335,6.294584450402145,0.17511476576328278,-0.02068692445755005,2.441880702972412,3.509012460708618,7.418725967407227,1.4183037281036377,1.4747954607009888,5.175075531005859,0.8249895572662354,1.33984375,7.144737720489502,2.477327823638916,0.7060546875
65536.0,0.27419018745422363,0.5719588994979858,6.611301939058173,0.13773688673973083,-0.016220517456531525,2.5715503692626953,3.5421783924102783,7.628668785095215,1.427686095237732,1.3654950857162476,4.836826801300049,0.6615862846374512,1.47265625,7.787135124206543,2.2525038719177246,0.6357421875
67584.0,0.2724660038948059,0.5551458597183228,6.584613333333333,0.0939679965376854,-0.05760782212018967,2.6925480365753174,3.584138870239258,7.411454200744629,1.316608190536499,1.4569379091262817,5.22186803817749,0.6507149338722229,1.232421875,7.110780715942383,3.0453832149505615,0.849609375
69632.0,0.27115803956985474,0.5566872954368591,5.917855227882038,0.24881477653980255,-0.0003063902258872986,2.801351308822632,3.636000394821167,7.044680595397949,1.16703200340271,1.5566487312316895,5.659975051879883,1.0410196781158447,1.166015625,7.0401129722595215,2.51666522026062,0.6923828125
71680.0,0.2693379521369934,0.5148624181747437,5.829046242774567,0.1573767215013504,-0.04817212000489235,2.9068992137908936,3.684896945953369,7.023271560668945,1.1170928478240967,1.5178788900375366,5.593227386474609,0.8633843660354614,1.15234375,7.152050018310547,2.5015249252319336,0.6787109375
73728.0,0.26841074228286743,0.5294256210327148,6.673768115942028,0.3793250322341919,0.12284497916698456,3.018411874771118,3.7203292846679688,7.367398262023926,1.1689789295196533,1.3717677593231201,5.103427886962891,1.0682742595672607,1.1748046875,7.388104438781738,2.2943031787872314,0.61669921875
75776.0,0.2670370042324066,0.5279874205589294,5.965762273901809,0.07782626897096634,-0.0929897278547287,3.115715265274048,3.775296449661255,6.9105401039123535,1.0051727294921875,1.5682076215744019,5.9204487800598145,0.7255029678344727,1.0361328125,7.026091575622559,2.9113643169403076,0.77099609375
77824.0,0.26812103390693665,0.4951184391975403,6.037403598971723,0.11713217943906784,-0.061581458896398544,3.214238166809082,3.822624683380127,7.056626319885254,1.005170226097107,1.4832227230072021,5.669804573059082,0.7544640302658081,0.98388671875,6.975165843963623,2.60758376121521,0.68212890625
79872.0,0.26371893286705017,0.5246179103851318,5.801150895140665,0.17434917390346527,-0.005080383270978928,3.3071327209472656,3.8711190223693848,6.930017471313477,0.9358752965927124,1.4889228343963623,5.763797760009766,0.7596876621246338,1.0009765625,7.18021297454834,2.6093194484710693,0.673828125
