global_step,approx_kl,clip_fraction,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
1024.0,,,1.4787979125976562,-12.86,0.9735457897186279,-0.03692620247602463,-0.14301244914531708,1.0483540296554565,-5.7204976081848145,-5.320230484008789,2.8001902103424072,2.9355905055999756,4.101039886474609,-5.30078125,-5.699051856994629,0.04125097766518593,0.039337158203125
2048.0,,,1.488412857055664,-12.396530612244899,0.8209379315376282,-0.06395915895700455,-0.3373008072376251,1.0861797332763672,-7.914546489715576,-6.976051330566406,2.3593077659606934,2.5626323223114014,3.5991249084472656,-5.7734375,-6.609319686889648,0.013393383473157883,0.0123291015625
3072.0,,,1.4654138088226318,-10.897115384615384,1.7342970371246338,-0.17635971307754517,-0.518252968788147,1.1611615419387817,-7.575387001037598,-6.077650547027588,3.520134925842285,4.087445259094238,7.7012434005737305,-5.53515625,-6.945782661437988,0.023669347167015076,0.0203857421875
4096.0,,,1.4482935667037964,-12.155510204081633,0.9704033732414246,-0.06926116347312927,-0.7163659334182739,1.2026909589767456,-8.442770004272461,-6.424263954162598,2.3478291034698486,2.8237125873565674,4.21658992767334,-5.4375,-7.256401538848877,0.011894267983734608,0.0098876953125
5120.0,,,1.423515796661377,-11.623200000000002,0.6935536861419678,-0.10434480756521225,-0.9172679781913757,1.23409104347229,-8.752445220947266,-6.3489460945129395,1.9932831525802612,2.459892749786377,3.2485344409942627,-5.37109375,-7.544782638549805,0.010647020302712917,0.00862884521484375
6144.0,,,1.3928477764129639,-11.201923076923077,0.9383930563926697,-0.06986856460571289,-1.0991640090942383,1.289642572402954,-8.193107604980469,-5.500705718994141,2.6812357902526855,3.4578359127044678,4.0887603759765625,-5.109375,-7.686148643493652,0.08041863143444061,0.062347412109375
7168.0,,,1.3977688550949097,-11.425849056603772,0.7825197577476501,-0.03996023163199425,-1.2828385829925537,1.3456114530563354,-8.44614315032959,-5.323456764221191,2.6234302520751953,3.530117988586426,3.3458306789398193,-4.79296875,-7.730299949645996,0.23666900396347046,0.1759033203125
8192.0,,,1.420610785484314,-11.17575,0.6510940790176392,0.03944015875458717,-1.4444785118103027,1.4001904726028442,-7.748432159423828,-4.502211570739746,2.521437644958496,3.5304932594299316,2.5034401416778564,-3.888671875,-6.88802433013916,1.476454257965088,1.0546875
9216.0,,,1.415009617805481,-11.519200000000001,0.25348806381225586,-0.13076151907444,-1.6133968830108643,1.4459607601165771,-8.201211929321289,-4.556012153625488,2.235593318939209,3.2325799465179443,1.59359872341156,-3.896484375,-7.2464189529418945,1.6263490915298462,1.125
10240.0,,,1.3915292024612427,-11.25340425531915,0.3590908646583557,-0.10298095643520355,-1.7749871015548706,1.48806893825531,-8.077007293701172,-4.235031604766846,2.1046175956726074,3.1318163871765137,1.903948426246643,-3.9296875,-7.621824264526367,1.3386832475662231,0.8994140625
