global_step,approx_kl,aux_loss,clip_fraction,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
2048.0,,0.0,,1.5400358438491821,-11.91044642857143,0.961840808391571,-0.04270275682210922,-0.13587111234664917,1.055380940437317,-5.434844493865967,-5.020910263061523,3.047259569168091,3.216019630432129,4.141376972198486,-4.89453125,-5.30216646194458,0.981091320514679,0.9296875
4096.0,,0.0,,1.532405972480774,-11.98,0.65875643491745,-0.03018862009048462,-0.3180464506149292,1.099744200706482,-7.422883987426758,-6.460445404052734,2.5738682746887207,2.830596923828125,2.8783726692199707,-6.4296875,-7.389787673950195,1.3969001770019531,1.2705078125
6144.0,,0.0,,1.5299994945526123,-11.99647619047619,0.43580687046051025,-0.056394416838884354,-0.5290566682815552,1.1420133113861084,-8.758455276489258,-7.206043720245361,2.4440956115722656,2.791189670562744,2.09120512008667,-7.4375,-9.020858764648438,1.8276172876358032,1.6005859375
8192.0,,0.0,,1.5396190881729126,-11.382000000000001,0.5218556523323059,-0.00414067879319191,-0.7480102777481079,1.1965302228927612,-9.287200927734375,-7.136627197265625,2.777613639831543,3.3234989643096924,2.2271547317504883,-7.1328125,-9.280315399169922,2.3003456592559814,1.9228515625
10240.0,,0.0,,1.5198414325714111,-11.02140350877193,0.36662670969963074,0.05895789712667465,-0.9435851573944092,1.268481969833374,-8.571005821228027,-6.013031005859375,3.212966203689575,4.075589656829834,1.3522624969482422,-6.2421875,-8.862288475036621,2.9145092964172363,2.296875
12288.0,,0.0,,1.5084636211395264,-10.640679611650487,0.7375012040138245,0.005298901349306107,-1.1239264011383057,1.3450517654418945,-8.157236099243164,-5.229025363922119,3.220940113067627,4.332330703735352,3.0494861602783203,-4.67578125,-7.411495208740234,3.0094785690307617,2.23828125
14336.0,,0.0,,1.5090372562408447,-9.972574257425743,0.5519304275512695,-0.016782820224761963,-1.2879902124404907,1.4270421266555786,-7.686476230621338,-4.483740329742432,3.241525650024414,4.625793933868408,2.395576000213623,-4.3125,-7.440128803253174,3.4002485275268555,2.3828125
16384.0,,0.0,,1.4544720649719238,-9.342222222222224,0.7857522368431091,0.0050766002386808395,-1.4302400350570679,1.5233027935028076,-6.977984428405762,-3.641918182373047,3.4653351306915283,5.278754711151123,3.239060401916504,-2.90234375,-5.851833343505859,4.065847873687744,2.669921875
18432.0,,0.0,,1.395989179611206,-8.61825,0.6316434144973755,-0.024776455014944077,-1.535082221031189,1.6261460781097412,-5.623928546905518,-2.514439821243286,3.4673423767089844,5.6384053230285645,2.737358570098877,-2.099609375,-4.950881481170654,4.320556163787842,2.65625
20480.0,,0.0,,1.365143060684204,-8.694029850746269,0.7241186499595642,-0.01092345081269741,-1.655259370803833,1.7270121574401855,-6.342166423797607,-2.7138819694519043,3.278592109680176,5.662168502807617,3.049379825592041,-2.716796875,-6.348627090454102,3.437190055847168,1.990234375
