global_step,approx_kl,aux_loss,clip_fraction,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
2048.0,,0.0,,1.5007482767105103,-9.08008695652174,1.897688388824463,-0.061790741980075836,-0.10845046490430832,1.0800752639770508,-4.338018417358398,-3.9159939289093018,3.8923516273498535,4.204032897949219,7.957976341247559,-3.720703125,-4.127287864685059,0.43459394574165344,0.40234375
4096.0,,0.0,,1.540287971496582,-10.128526315789475,0.6052544116973877,0.005993844009935856,-0.2530062198638916,1.1335200071334839,-5.89068078994751,-4.973599910736084,2.8395168781280518,3.218648910522461,2.5202653408050537,-4.3984375,-5.2371368408203125,1.716900110244751,1.5146484375
6144.0,,0.0,,1.5004030466079712,-9.891538461538463,1.0391161441802979,-0.1650829017162323,-0.4175671935081482,1.206954002380371,-6.835444450378418,-5.317416667938232,3.3736767768859863,4.071872711181641,4.93682861328125,-5.42578125,-6.965703010559082,2.488368272781372,2.0625
8192.0,,0.0,,1.4947088956832886,-8.784234234234235,0.7699853777885437,-0.06649807095527649,-0.5622062087059021,1.289029836654663,-6.203126430511475,-4.376097679138184,3.484076976776123,4.491078853607178,3.465510368347168,-4.50390625,-6.369963645935059,2.675612211227417,2.076171875
10240.0,,0.0,,1.4797993898391724,-9.461276595744682,0.6624203324317932,-0.02411193773150444,-0.6940250396728516,1.3634371757507324,-5.834959506988525,-3.770569324493408,3.1291229724884033,4.26636266708374,2.8645129203796387,-3.392578125,-5.320796489715576,3.015272617340088,2.2109375
12288.0,,0.0,,1.4435256719589233,-7.618878504672898,0.8419612050056458,-0.16811895370483398,-0.8025093674659729,1.4578969478607178,-5.0333967208862305,-2.902048110961914,3.527740001678467,5.143081188201904,4.1558027267456055,-3.37109375,-5.716391563415527,3.153837203979492,2.1640625
14336.0,,0.0,,1.426451563835144,-8.575922330097086,0.44298553466796875,-0.004932660609483719,-0.9183043241500854,1.5455312728881836,-5.43430757522583,-2.9219746589660645,3.2121498584747314,4.9644775390625,1.9057888984680176,-2.748046875,-5.1651225090026855,3.332606315612793,2.15625
16384.0,,0.0,,1.378772258758545,-7.4389380530973455,0.7153993248939514,0.007063265889883041,-1.0209695100784302,1.6470727920532227,-5.024908065795898,-2.4309418201446533,3.4051666259765625,5.608557224273682,2.94364595413208,-1.984375,-4.289228916168213,4.184294700622559,2.541015625
18432.0,,0.0,,1.3343288898468018,-5.1794400000000005,0.5648994445800781,-0.04285441339015961,-1.0678555965423584,1.7595226764678955,-2.896409273147583,-1.039232611656189,3.4933149814605713,6.146567344665527,2.537761688232422,-0.96533203125,-2.7660441398620605,4.579777240753174,2.603515625
20480.0,,0.0,,1.2905969619750977,-3.561615384615385,0.5571977496147156,-0.04175610840320587,-1.093719720840454,1.8828932046890259,-2.102418899536133,-0.5357177257537842,3.556215763092041,6.695974349975586,2.499063014984131,-0.70849609375,-2.4278788566589355,4.82220983505249,2.560546875
