global_step,loss,policy_loss,value_loss,entropy,aux_loss,episode_return
256.0,2.842357873916626,-0.10956977307796478,5.933428764343262,1.4786804914474487,0.0,-4.579999999999999
512.0,7.450918197631836,-0.07309999316930771,15.077814102172852,1.4888554811477661,0.0,-7.145555555555556
768.0,5.731391429901123,0.16996882855892181,11.153112411499023,1.513329267501831,0.0,-9.159285714285714
1024.0,2.030836820602417,-0.18101689219474792,4.4535112380981445,1.4901834726333618,0.0,-10.311666666666667
1280.0,2.124236583709717,0.03873046487569809,4.1993408203125,1.4164294004440308,0.0,-8.790833333333333
1536.0,3.8940038681030273,0.16013437509536743,7.496095657348633,1.417834997177124,0.0,-7.090000000000001
1792.0,3.8527636528015137,0.15444882214069366,7.425166606903076,1.426835298538208,0.0,-6.109411764705883
2048.0,4.095236778259277,0.060463760048151016,8.096597671508789,1.352614402770996,0.0,-8.653333333333334
2304.0,1.3087224960327148,-0.18708845973014832,3.0191588401794434,1.3768435716629028,0.0,-7.926153846153847
2560.0,4.366467475891113,-0.19834671914577484,9.156867980957031,1.362003207206726,0.0,-5.836363636363637
2816.0,3.4503164291381836,-0.052865684032440186,7.033196449279785,1.3416093587875366,0.0,-8.870000000000001
3072.0,0.7337798476219177,-0.0997626930475235,1.693176031112671,1.304549217224121,0.0,-7.364444444444445
3328.0,3.0293526649475098,-0.06675980985164642,6.2182230949401855,1.2999087572097778,0.0,-7.8075
3584.0,1.9104583263397217,0.04062860459089279,3.7643113136291504,1.2325935363769531,0.0,-8.66
3840.0,1.7974203824996948,0.11679525673389435,3.3877432346343994,1.3246493339538574,0.0,-7.854545454545455
4096.0,3.2872796058654785,0.12477363646030426,6.350271701812744,1.2629973888397217,0.0,-7.352857142857144
4352.0,1.3707447052001953,-0.2555552124977112,3.277221441268921,1.2310776710510254,0.0,-7.901818181818183
4608.0,1.0803216695785522,-0.015194430947303772,2.2154126167297363,1.2190202474594116,0.0,-7.287272727272728
4864.0,4.2689714431762695,-0.07419134676456451,8.710975646972656,1.2324614524841309,0.0,-5.468461538461539
5120.0,2.756618022918701,0.159253790974617,5.219221115112305,1.224627137184143,0.0,-10.158
