global_step,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
1024.0,1.4633269309997559,-4.681929824561403,1.8444713354110718,0.06887555867433548,-0.046216707676649094,1.0829341411590576,-1.8486683368682861,-1.664414882659912,3.9886763095855713,4.319473743438721,7.160916328430176,-1.6416015625,-1.823483943939209,0.2485974282026291,0.2296142578125
2048.0,1.4440312385559082,-7.3863157894736835,1.1001681089401245,-0.2091677337884903,-0.147093266248703,1.1408169269561768,-4.0812788009643555,-3.44856858253479,2.980236530303955,3.399904251098633,5.295104503631592,-3.11328125,-3.699578046798706,0.48979246616363525,0.429443359375
3072.0,1.4837135076522827,-6.96016393442623,1.3031224012374878,-0.16799330711364746,-0.26104339957237244,1.2200981378555298,-4.7050981521606445,-3.6423747539520264,3.5359203815460205,4.314169883728027,5.943811416625977,-3.61328125,-4.669936180114746,0.7360815405845642,0.603515625
4096.0,1.4427006244659424,-6.059444444444444,0.8132801651954651,0.014423977583646774,-0.36825087666511536,1.286098837852478,-4.549342632293701,-3.2509877681732178,3.0028867721557617,3.862009048461914,3.2531328201293945,-3.2265625,-4.519173622131348,1.3317774534225464,1.03515625
5120.0,1.3690491914749146,-6.609607843137256,0.8331056237220764,-0.006003441289067268,-0.46478813886642456,1.3598304986953735,-4.229741096496582,-2.7686924934387207,3.116145133972168,4.237429141998291,3.411198139190674,-2.537109375,-3.915250778198242,1.9783515930175781,1.455078125
6144.0,1.396437168121338,-6.506363636363637,0.7261024117469788,0.013159641996026039,-0.5587160587310791,1.4251859188079834,-4.221904754638672,-2.5703234672546387,2.789804458618164,3.975989818572998,2.9076285362243652,-2.7109375,-4.422636985778809,1.679342269897461,1.1787109375
7168.0,1.3233369588851929,-5.546499999999999,0.6257188320159912,0.04210303723812103,-0.6319851875305176,1.4909569025039673,-3.4894795417785645,-1.9165503978729248,2.7217447757720947,4.058003902435303,2.3873965740203857,-1.888671875,-3.4477720260620117,1.6874370574951172,1.1318359375
8192.0,1.32100510597229,-6.41421052631579,0.3093549609184265,-0.0018414203077554703,-0.7101263999938965,1.5608521699905396,-3.757633924484253,-1.9524638652801514,2.7477686405181885,4.28886079788208,1.2976257801055908,-2.1796875,-4.113348960876465,2.1453282833099365,1.3740234375
9216.0,1.3036887645721436,-6.68,0.4013887345790863,-0.012617263942956924,-0.7928967475891113,1.6310442686080933,-4.020939826965332,-1.9791266918182373,2.679675340652466,4.370669364929199,1.7081714868545532,-1.779296875,-3.695067882537842,2.3102595806121826,1.416015625
10240.0,1.3211545944213867,-4.83225806451613,0.5698235034942627,0.08736788481473923,-0.8662046790122986,1.6987411975860596,-3.7252137660980225,-1.683016300201416,2.5554440021514893,4.341037273406982,1.9826687574386597,-1.517578125,-3.443971633911133,2.083894729614258,1.2265625
11264.0,1.3248851299285889,-5.056470588235294,0.4036770761013031,-0.021293044090270996,-0.9313380718231201,1.7674310207366943,-3.471538543701172,-1.437227487564087,2.5169336795806885,4.448506832122803,1.7528759241104126,-1.203125,-3.057380199432373,2.349003791809082,1.3291015625
12288.0,1.3069721460342407,-8.520476190476192,0.29127582907676697,-0.027978040277957916,-1.034045934677124,1.8175768852233887,-5.03964900970459,-2.20381498336792,2.0769999027252197,3.7751071453094482,1.3292943239212036,-2.234375,-5.095218658447266,1.6454046964645386,0.9052734375
13312.0,1.2820606231689453,-6.577377049180327,0.6215406060218811,0.17915531992912292,-1.1339747905731201,1.8813632726669312,-5.031200408935547,-2.0714902877807617,2.323402166366577,4.371163368225098,1.8208235502243042,-1.9169921875,-4.7399187088012695,2.155608654022217,1.1455078125
