global_step,approx_kl,aux_loss,clip_fraction,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
2048.0,,0.0,,1.528323769569397,-11.312718446601945,1.2414512634277344,0.008845273405313492,-0.12923498451709747,1.0609591007232666,-5.169399261474609,-4.750573635101318,3.2415964603424072,3.4392011165618896,5.052689552307129,-4.8671875,-5.294513702392578,0.2555602490901947,0.2408447265625
4096.0,,0.0,,1.530092477798462,-11.793867924528303,0.8701063394546509,-0.06751042604446411,-0.3152402639389038,1.116551160812378,-7.569446563720703,-6.496976852416992,2.942490816116333,3.2854413986206055,3.8728744983673096,-6.30859375,-7.359411239624023,1.5906730890274048,1.4248046875
6144.0,,0.0,,1.5053406953811646,-11.776851851851852,0.3275836706161499,-0.06528708338737488,-0.5158895254135132,1.1662650108337402,-8.34121036529541,-6.709727764129639,2.66308331489563,3.105860948562622,1.6919102668762207,-6.4609375,-8.049967765808105,2.21545672416687,1.8994140625
8192.0,,0.0,,1.5013076066970825,-12.086477272727274,0.4410180151462555,-0.037052299827337265,-0.7106682062149048,1.2263160943984985,-8.307037353515625,-6.194462299346924,2.910484552383423,3.5691745281219482,2.03238582611084,-6.2109375,-8.325624465942383,2.7682690620422363,2.2578125
10240.0,,0.0,,1.52829110622406,-10.769999999999998,0.719884991645813,-0.07076440006494522,-0.9068966507911682,1.2934644222259521,-8.559805870056152,-5.916598796844482,3.025367021560669,3.9132044315338135,3.284860849380493,-5.47265625,-7.987734794616699,2.1886467933654785,1.6923828125
12288.0,,0.0,,1.4935905933380127,-10.025279999999997,0.7543070316314697,0.019660986959934235,-1.0831654071807861,1.3614977598190308,-7.95764684677124,-5.0492048263549805,2.949528694152832,4.015776634216309,3.0580713748931885,-5.8125,-8.997566223144531,2.3203020095825195,1.7041015625
14336.0,,0.0,,1.462845802307129,-9.972121212121213,0.35721704363822937,0.044172823429107666,-1.2551459074020386,1.4488877058029175,-7.962383270263672,-4.629232406616211,3.3531110286712646,4.858281135559082,1.3692045211791992,-5.0078125,-8.51144790649414,3.5124950408935547,2.423828125
16384.0,,0.0,,1.4299333095550537,-8.367473684210527,0.5860459208488464,0.013235408812761307,-1.3728708028793335,1.5553491115570068,-5.964138984680176,-2.951921224594116,3.6703884601593018,5.70873498916626,2.405636787414551,-3.283203125,-6.480672359466553,4.602874755859375,2.958984375
18432.0,,0.0,,1.3804926872253418,-9.116484374999999,0.4947023093700409,-0.04094361513853073,-1.518093228340149,1.6445735692977905,-7.181768417358398,-3.443856716156006,3.1166586875915527,5.125574588775635,2.253023147583008,-3.359375,-7.041635513305664,3.6661531925201416,2.228515625
20480.0,,0.0,,1.3023478984832764,-6.876328125000001,0.8828471302986145,0.024378066882491112,-1.5973337888717651,1.766404390335083,-4.687715530395508,-1.7495324611663818,3.6907730102539062,6.519397735595703,3.5380640029907227,-1.3232421875,-3.9342141151428223,4.99689245223999,2.828125
