global_step,approx_kl,clip_fraction,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
1024.0,,,1.4589791297912598,-9.774035087719298,1.9965343475341797,0.11358670890331268,-0.11264007538557053,1.076862096786499,-4.505602836608887,-4.079410552978516,3.7855122089385986,4.076474666595459,7.590149879455566,-3.11328125,-3.465066909790039,0.006498392671346664,0.00603485107421875
2048.0,,,1.4406012296676636,-10.998727272727276,1.86923348903656,0.15228475630283356,-0.2675119638442993,1.1401348114013672,-6.3075151443481445,-5.297621726989746,3.1658787727355957,3.6095285415649414,6.925418853759766,-2.97265625,-3.6562533378601074,0.0037899636663496494,0.0033245086669921875
3072.0,,,1.4347748756408691,-8.525918367346938,1.2267647981643677,0.04252973943948746,-0.3944147527217865,1.2149765491485596,-5.343623161315918,-4.073500633239746,3.404033660888672,4.135821342468262,4.7943315505981445,-2.8125,-3.811610460281372,0.0032203064765781164,0.002651214599609375
4096.0,,,1.4859118461608887,-8.168235294117647,1.5532729625701904,-0.0018853023648262024,-0.528434157371521,1.2951011657714844,-5.755189895629883,-4.035789489746094,3.414496660232544,4.422118186950684,6.280069351196289,-2.66015625,-3.972933769226074,0.002951993839815259,0.0022792816162109375
5120.0,,,1.4676191806793213,-9.550227272727273,1.1387892961502075,0.17434389889240265,-0.6568451523780823,1.3512436151504517,-5.664873123168945,-3.7062363624572754,2.621678352355957,3.5425262451171875,3.9164865016937256,-2.572265625,-4.132437705993652,0.004186016507446766,0.0030975341796875
6144.0,,,1.4848523139953613,-10.0335,0.8892948031425476,-0.22303012013435364,-0.8072853684425354,1.3945327997207642,-6.674454689025879,-4.2072649002075195,2.2117180824279785,3.0843136310577393,4.508693695068359,-2.515625,-4.316683769226074,0.003131493227556348,0.0022449493408203125
7168.0,,,1.4238427877426147,-10.711458333333335,0.7457894086837769,-0.007258890196681023,-0.9501680731773376,1.434587836265564,-6.522593975067139,-3.8843393325805664,2.0899336338043213,2.9981932640075684,3.0691468715667725,-2.4765625,-4.502117156982422,0.0030028074979782104,0.0020923614501953125
8192.0,,,1.4216135740280151,-11.062857142857142,0.695011556148529,0.038179412484169006,-1.0922014713287354,1.4722185134887695,-6.631503105163574,-3.762554168701172,1.9978348016738892,2.941249370574951,2.6841931343078613,-2.447265625,-4.6937408447265625,0.00320640136487782,0.002178192138671875
9216.0,,,1.380378246307373,-10.389272727272727,0.7922353148460388,0.0453529953956604,-1.2387256622314453,1.517327070236206,-6.953169345855713,-3.766125202178955,2.160482883453369,3.2781593799591064,3.0427443981170654,-2.408203125,-4.892942428588867,0.0037514290306717157,0.002471923828125
10240.0,,,1.3132846355438232,-8.609512195121953,0.613064169883728,0.009567821398377419,-1.3572719097137451,1.5677410364151,-5.980573654174805,-2.949021339416504,2.2552239894866943,3.5356075763702393,2.4665169715881348,-2.37890625,-5.086996078491211,0.004613990895450115,0.0029430389404296875
