global_step,approx_kl,clip_fraction,entropy,episode_return,loss,policy_loss,popart_mu,popart_sigma,returns_mean,returns_norm_mean,returns_norm_std,returns_std,value_loss,value_pred_mean,value_pred_raw_mean,value_pred_raw_std,value_pred_std
1024.0,,,1.3520965576171875,-4.886666666666668,1.6697897911071777,-0.12058991193771362,-0.059363044798374176,1.0715837478637695,-2.3745217323303223,-2.1605019569396973,3.607029914855957,3.865234613418579,7.215602874755859,-1.955078125,-2.153935194015503,0.7969842553138733,0.74365234375
2048.0,,,1.4080650806427002,-7.090566037735848,0.98619544506073,0.009995413944125175,-0.1617191731929779,1.1385701894760132,-4.153608322143555,-3.506054401397705,3.2961254119873047,3.7528700828552246,3.961122751235962,-3.017578125,-3.5965402126312256,0.16825775802135468,0.1478271484375
3072.0,,,1.4095711708068848,-6.111228070175439,1.5096478462219238,-0.1445993185043335,-0.25251445174217224,1.212375521659851,-3.793530225753784,-2.9207253456115723,3.3758339881896973,4.09277868270874,6.673371315002441,-2.759765625,-3.598076820373535,0.5192780494689941,0.42822265625
4096.0,,,1.3960888385772705,-6.840833333333334,1.0921146869659424,-0.08200232684612274,-0.3693322539329529,1.2877461910247803,-4.925227165222168,-3.5378828048706055,3.284237861633301,4.229265213012695,4.7523112297058105,-2.5703125,-3.678180694580078,0.7566829919815063,0.58740234375
5120.0,,,1.4523921012878418,-4.9773076923076935,1.1546276807785034,-0.02330819144845009,-0.44418078660964966,1.368468165397644,-3.3632731437683105,-2.1331095695495605,3.302109718322754,4.518831729888916,4.769838809967041,-2.037109375,-3.2310333251953125,1.3302196264266968,0.97216796875
6144.0,,,1.4551286697387695,-6.309827586206897,0.803837239742279,-0.12626950442790985,-0.5391194224357605,1.4364463090896606,-4.241725921630859,-2.577615261077881,2.8470165729522705,4.08958625793457,3.778632164001465,-2.126953125,-3.5948710441589355,1.1473278999328613,0.798828125
7168.0,,,1.4525353908538818,-7.215490196078432,0.6077800989151001,0.009267382323741913,-0.634931743144989,1.4959607124328613,-4.37161111831665,-2.4978461265563965,2.5527961254119873,3.818882942199707,2.4521522521972656,-2.302734375,-4.080842018127441,0.5019406676292419,0.33544921875
8192.0,,,1.4465136528015137,-6.41921875,0.5948035717010498,0.07495073974132538,-0.7149351835250854,1.5600612163543701,-3.835068941116333,-2.000007390975952,2.60371994972229,4.061962604522705,2.1372718811035156,-1.830078125,-3.5698142051696777,0.41077718138694763,0.263427734375
9216.0,,,1.396217942237854,-6.281228070175438,0.845510721206665,-0.06355997920036316,-0.8012943863868713,1.638537049293518,-4.169301986694336,-2.0554966926574707,2.8692593574523926,4.701387882232666,3.692131519317627,-1.7197265625,-3.6189804077148438,1.0926133394241333,0.6669921875
10240.0,,,1.3471529483795166,-5.823207547169811,0.8181715607643127,0.1104116216301918,-0.8788862228393555,1.698880910873413,-3.90496826171875,-1.78122079372406,2.386436939239502,4.054272174835205,2.8849258422851562,-1.359375,-3.188716411590576,1.5083261728286743,0.8876953125
