step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[5, 3]","[6, 3]",2,down,-0.13,running,1,3.0,3
2,"[6, 3]","[7, 3]",2,down,-0.12000000000000001,running,2,1.0,2
3,"[7, 3]","[8, 3]",2,down,-0.11,running,3,3.0,1
4,"[8, 3]","[9, 3]",2,down,-0.12000000000000001,running,4,4.0,2
5,"[9, 3]","[9, 4]",4,right,-0.11,running,5,2.0,1
6,"[9, 4]","[9, 5]",4,right,-0.12000000000000001,running,6,4.0,2
7,"[9, 5]","[9, 6]",4,right,-0.13,running,7,6.0,3
8,"[9, 6]","[9, 7]",4,right,-0.14,running,8,7.0,4
9,"[9, 7]","[9, 6]",3,left,-0.13,running,9,5.0,3
10,"[9, 6]","[9, 5]",3,left,-0.12000000000000001,running,10,5.0,2
11,"[9, 5]","[9, 6]",4,right,-0.13,running,11,6.0,3
12,"[9, 6]","[9, 7]",4,right,-0.14,running,12,6.0,4
13,"[9, 7]","[9, 6]",3,left,-0.13,running,13,5.0,3
14,"[9, 6]","[9, 7]",4,right,-0.14,running,14,5.0,4
15,"[9, 7]","[9, 6]",3,left,-0.13,running,15,4.0,3
16,"[9, 6]","[9, 7]",4,right,-0.14,running,16,6.0,4
17,"[9, 7]","[9, 8]",4,right,-0.15000000000000002,running,17,6.0,5
18,"[9, 8]","[9, 9]",4,right,-0.16,running,18,8.0,6
19,"[9, 9]","[8, 9]",1,up,-0.15000000000000002,running,19,7.0,5
20,"[8, 9]","[9, 9]",2,down,-0.16,running,20,7.0,6
21,"[9, 9]","[8, 9]",1,up,-0.15000000000000002,running,21,6.0,5
22,"[8, 9]","[9, 9]",2,down,-0.16,running,22,6.0,6
23,"[9, 9]","[8, 9]",1,up,-0.15000000000000002,running,23,6.0,5
24,"[8, 9]","[9, 9]",2,down,-0.16,running,24,5.0,6
25,"[9, 9]","[8, 9]",1,up,-0.15000000000000002,running,25,7.0,5
26,"[8, 9]","[9, 9]",2,down,-0.16,running,26,5.0,6
27,"[9, 9]","[9, 8]",3,left,-0.15000000000000002,running,27,5.0,5
28,"[9, 8]","[9, 9]",4,right,-0.16,running,28,5.0,6
29,"[9, 9]","[9, 8]",3,left,-0.15000000000000002,running,29,4.0,5
30,"[9, 8]","[9, 9]",4,right,-0.16,running,30,5.0,6
31,"[9, 9]","[9, 8]",3,left,-0.15000000000000002,running,31,4.0,5
32,"[9, 8]","[9, 9]",4,right,-0.16,running,32,4.0,6
33,"[9, 9]","[9, 8]",3,left,-0.15000000000000002,running,33,2.0,5
34,"[9, 8]","[9, 9]",4,right,-0.16,running,34,3.0,6
35,"[9, 9]","[8, 9]",1,up,-0.15000000000000002,running,35,3.0,5
36,"[8, 9]","[9, 9]",2,down,-0.16,running,36,3.0,6
37,"[9, 9]","[9, 9]",0,stay,-0.16,running,36,4.0,6
38,"[9, 9]","[9, 9]",0,stay,-0.16,running,36,5.0,6
39,"[9, 9]","[8, 9]",1,up,-0.15000000000000002,running,37,3.0,5
40,"[8, 9]","[9, 9]",2,down,-0.16,running,38,3.0,6
41,"[9, 9]","[9, 9]",0,stay,-0.16,running,38,2.0,6
42,"[9, 9]","[9, 9]",0,stay,-0.16,running,38,2.0,6
43,"[9, 9]","[9, 9]",0,stay,-0.16,running,38,1.0,6
44,"[9, 9]","[9, 9]",0,stay,-0.16,running,38,2.0,6
45,"[9, 9]","[9, 8]",3,left,-10.15,collision,39,0.0,5
