step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[3, 3]","[3, 4]",4,right,-0.16,running,1,2.0,6
2,"[3, 4]","[3, 5]",4,right,-0.15000000000000002,running,2,3.0,5
3,"[3, 5]","[2, 5]",1,up,-0.14,running,3,2.0,4
4,"[2, 5]","[1, 5]",1,up,-0.13,running,4,2.0,3
5,"[1, 5]","[0, 5]",1,up,-0.12000000000000001,running,5,2.0,2
6,"[0, 5]","[0, 6]",4,right,-0.11,running,6,2.0,1
7,"[0, 6]","[0, 5]",3,left,-0.12000000000000001,running,7,2.0,2
8,"[0, 5]","[0, 6]",4,right,-0.11,running,8,2.0,1
9,"[0, 6]","[0, 5]",3,left,-0.12000000000000001,running,9,2.0,2
10,"[0, 5]","[0, 4]",3,left,-0.13,running,10,1.0,3
11,"[0, 4]","[0, 5]",4,right,-0.12000000000000001,running,11,2.0,2
12,"[0, 5]","[0, 6]",4,right,-0.11,running,12,2.0,1
13,"[0, 6]","[0, 7]",4,right,9.9,success,13,4.0,0
