step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[2, 1]","[2, 0]",3,left,-0.16,running,1,6.0,6
2,"[2, 0]","[2, 1]",4,right,-0.15000000000000002,running,2,6.0,5
3,"[2, 1]","[1, 1]",1,up,-0.16,running,3,8.0,6
4,"[1, 1]","[1, 2]",4,right,-0.15000000000000002,running,4,8.0,5
5,"[1, 2]","[1, 3]",4,right,-0.14,running,5,7.0,4
6,"[1, 3]","[1, 2]",3,left,-0.15000000000000002,running,6,7.0,5
7,"[1, 2]","[1, 3]",4,right,-0.14,running,7,7.0,4
8,"[1, 3]","[1, 4]",4,right,-0.15000000000000002,running,8,8.0,5
9,"[1, 4]","[0, 4]",1,up,-0.16,running,9,9.0,6
10,"[0, 4]","[0, 5]",4,right,-0.17,running,10,8.0,7
11,"[0, 5]","[1, 5]",2,down,-0.16,running,11,6.0,6
12,"[1, 5]","[1, 4]",3,left,-0.15000000000000002,running,12,6.0,5
13,"[1, 4]","[2, 4]",2,down,-0.14,running,13,5.0,4
14,"[2, 4]","[2, 3]",3,left,-0.13,running,14,7.0,3
15,"[2, 3]","[2, 2]",3,left,-0.14,running,15,7.0,4
16,"[2, 2]","[2, 3]",4,right,-0.13,running,16,6.0,3
17,"[2, 3]","[2, 2]",3,left,-0.14,running,17,6.0,4
18,"[2, 2]","[2, 1]",3,left,-0.15000000000000002,running,18,6.0,5
19,"[2, 1]","[2, 0]",3,left,-0.16,running,19,6.0,6
20,"[2, 0]","[3, 0]",2,down,-0.15000000000000002,running,20,6.0,5
21,"[3, 0]","[3, 1]",4,right,-0.14,running,21,6.0,4
22,"[3, 1]","[2, 1]",1,up,-0.15000000000000002,running,22,6.0,5
23,"[2, 1]","[2, 2]",4,right,-0.14,running,23,5.0,4
24,"[2, 2]","[3, 2]",2,down,-0.13,running,24,5.0,3
25,"[3, 2]","[4, 2]",2,down,-0.12000000000000001,running,25,3.0,2
26,"[4, 2]","[4, 3]",4,right,-0.11,running,26,5.0,1
27,"[4, 3]","[4, 2]",3,left,-0.12000000000000001,running,27,5.0,2
28,"[4, 2]","[4, 3]",4,right,-0.11,running,28,5.0,1
29,"[4, 3]","[5, 3]",2,down,9.9,success,29,3.0,0
