step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[1, 8]","[1, 7]",3,left,-0.2,running,1,5.0,10
2,"[1, 7]","[1, 6]",3,left,-0.19,running,2,3.0,9
3,"[1, 6]","[1, 5]",3,left,-0.18,running,3,1.0,8
4,"[1, 5]","[1, 4]",3,left,-0.17,running,4,1.0,7
5,"[1, 4]","[1, 3]",3,left,-0.16,running,5,1.0,6
6,"[1, 3]","[1, 2]",3,left,-0.15000000000000002,running,6,1.0,5
7,"[1, 2]","[1, 1]",3,left,-0.14,running,7,1.0,4
8,"[1, 1]","[1, 0]",3,left,-0.15000000000000002,running,8,1.0,5
9,"[1, 0]","[2, 0]",2,down,-0.14,running,9,1.0,4
10,"[2, 0]","[3, 0]",2,down,-0.13,running,10,1.0,3
11,"[3, 0]","[4, 0]",2,down,-0.12000000000000001,running,11,3.0,2
12,"[4, 0]","[5, 0]",2,down,-0.11,running,12,5.0,1
13,"[5, 0]","[4, 0]",1,up,-0.12000000000000001,running,13,3.0,2
14,"[4, 0]","[5, 0]",2,down,-0.11,running,14,4.0,1
15,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,15,5.0,2
16,"[6, 0]","[5, 0]",1,up,-0.11,running,16,3.0,1
17,"[5, 0]","[4, 0]",1,up,-0.12000000000000001,running,17,3.0,2
18,"[4, 0]","[5, 0]",2,down,-0.11,running,18,4.0,1
19,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,19,4.0,2
20,"[6, 0]","[7, 0]",2,down,-0.13,running,20,4.0,3
21,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,21,4.0,2
22,"[6, 0]","[5, 0]",1,up,-0.11,running,22,4.0,1
23,"[5, 0]","[4, 0]",1,up,-0.12000000000000001,running,23,4.0,2
24,"[4, 0]","[5, 0]",2,down,-0.11,running,24,6.0,1
25,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,25,6.0,2
26,"[6, 0]","[5, 0]",1,up,-0.11,running,26,4.0,1
27,"[5, 0]","[4, 0]",1,up,-0.12000000000000001,running,27,2.0,2
28,"[4, 0]","[5, 0]",2,down,-0.11,running,28,3.0,1
29,"[5, 0]","[4, 0]",1,up,-0.12000000000000001,running,29,2.0,2
30,"[4, 0]","[5, 0]",2,down,-0.11,running,30,4.0,1
31,"[5, 0]","[4, 0]",1,up,-0.12000000000000001,running,31,4.0,2
32,"[4, 0]","[5, 0]",2,down,-0.11,running,32,5.0,1
33,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,33,5.0,2
34,"[6, 0]","[5, 0]",1,up,-0.11,running,34,3.0,1
35,"[5, 0]","[5, 1]",4,right,9.9,success,35,3.0,0
