step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 0]","[7, 1]",4,right,-0.17,running,1,1.0,7
2,"[7, 1]","[7, 2]",4,right,-0.16,running,2,3.0,6
3,"[7, 2]","[7, 3]",4,right,-0.15000000000000002,running,3,5.0,5
4,"[7, 3]","[6, 3]",1,up,-0.14,running,4,5.0,4
5,"[6, 3]","[5, 3]",1,up,-0.13,running,5,3.0,3
6,"[5, 3]","[5, 4]",4,right,-0.12000000000000001,running,6,3.0,2
7,"[5, 4]","[5, 5]",4,right,-0.11,running,7,1.0,1
8,"[5, 5]","[5, 6]",4,right,-0.12000000000000001,running,8,2.0,2
9,"[5, 6]","[4, 6]",1,up,-0.11,running,9,2.0,1
10,"[4, 6]","[3, 6]",1,up,-0.12000000000000001,running,10,2.0,2
11,"[3, 6]","[3, 5]",3,left,-0.11,running,11,2.0,1
12,"[3, 5]","[3, 4]",3,left,-0.12000000000000001,running,12,4.0,2
13,"[3, 4]","[3, 5]",4,right,-0.11,running,13,2.0,1
14,"[3, 5]","[3, 6]",4,right,-0.12000000000000001,running,14,2.0,2
15,"[3, 6]","[3, 5]",3,left,-0.11,running,15,2.0,1
16,"[3, 5]","[3, 4]",3,left,-0.12000000000000001,running,16,2.0,2
17,"[3, 4]","[3, 5]",4,right,-0.11,running,17,2.0,1
18,"[3, 5]","[3, 6]",4,right,-10.12,collision,18,0.0,2
