step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 2]","[7, 3]",4,right,-0.15000000000000002,running,1,4.0,5
2,"[7, 3]","[7, 4]",4,right,-0.14,running,2,5.0,4
3,"[7, 4]","[7, 5]",4,right,-0.13,running,3,5.0,3
4,"[7, 5]","[7, 6]",4,right,-0.12000000000000001,running,4,5.0,2
5,"[7, 6]","[7, 7]",4,right,-0.11,running,5,5.0,1
6,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,6,4.0,2
7,"[7, 6]","[7, 7]",4,right,-0.11,running,7,4.0,1
8,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,8,4.0,2
9,"[7, 6]","[7, 7]",4,right,-0.11,running,9,5.0,1
10,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,10,3.0,2
11,"[7, 6]","[7, 7]",4,right,-0.11,running,11,5.0,1
12,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,12,3.0,2
13,"[7, 6]","[7, 7]",4,right,-0.11,running,13,5.0,1
14,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,14,5.0,2
15,"[7, 6]","[7, 7]",4,right,-0.11,running,15,5.0,1
16,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,16,4.0,2
17,"[7, 6]","[7, 7]",4,right,-0.11,running,17,4.0,1
18,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,18,4.0,2
19,"[7, 6]","[7, 7]",4,right,-0.11,running,19,6.0,1
20,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,20,4.0,2
21,"[7, 6]","[7, 7]",4,right,-0.11,running,21,4.0,1
22,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,22,4.0,2
23,"[7, 6]","[7, 7]",4,right,-0.11,running,23,6.0,1
24,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,24,6.0,2
25,"[7, 6]","[7, 7]",4,right,-0.11,running,25,6.0,1
26,"[7, 7]","[6, 7]",1,up,9.9,success,26,5.0,0
