step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[1, 7]","[2, 7]",2,down,-0.14,running,1,3.0,4
2,"[2, 7]","[3, 7]",2,down,-0.13,running,2,2.0,3
3,"[3, 7]","[4, 7]",2,down,-0.12000000000000001,running,3,2.0,2
4,"[4, 7]","[5, 7]",2,down,-0.11,running,4,4.0,1
5,"[5, 7]","[6, 7]",2,down,-0.12000000000000001,running,5,6.0,2
6,"[6, 7]","[7, 7]",2,down,-0.13,running,6,8.0,3
7,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,7,6.0,2
8,"[7, 6]","[7, 5]",3,left,-0.13,running,8,6.0,3
9,"[7, 5]","[7, 6]",4,right,-0.12000000000000001,running,9,4.0,2
10,"[7, 6]","[7, 7]",4,right,-0.13,running,10,4.0,3
11,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,11,2.0,2
12,"[7, 6]","[7, 5]",3,left,-0.13,running,12,2.0,3
13,"[7, 5]","[7, 4]",3,left,-0.14,running,13,2.0,4
14,"[7, 4]","[7, 5]",4,right,-0.13,running,14,2.0,3
15,"[7, 5]","[7, 4]",3,left,-0.14,running,15,4.0,4
16,"[7, 4]","[7, 5]",4,right,-0.13,running,16,4.0,3
17,"[7, 5]","[7, 6]",4,right,-0.12000000000000001,running,17,4.0,2
18,"[7, 6]","[7, 5]",3,left,-0.13,running,18,5.0,3
19,"[7, 5]","[7, 6]",4,right,-0.12000000000000001,running,19,4.0,2
20,"[7, 6]","[7, 7]",4,right,-0.13,running,20,4.0,3
21,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,21,6.0,2
22,"[7, 6]","[7, 7]",4,right,-0.13,running,22,5.0,3
23,"[7, 7]","[7, 6]",3,left,-0.12000000000000001,running,23,4.0,2
24,"[7, 6]","[7, 7]",4,right,-0.13,running,24,4.0,3
25,"[7, 7]","[6, 7]",1,up,-0.12000000000000001,running,25,2.0,2
26,"[6, 7]","[7, 7]",2,down,-0.13,running,26,2.0,3
27,"[7, 7]","[7, 6]",3,left,-10.12,collision,27,0.0,2
