step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[1, 3]","[1, 2]",3,left,-0.14,running,1,1.0,4
2,"[1, 2]","[1, 1]",3,left,-0.13,running,2,1.0,3
3,"[1, 1]","[2, 1]",2,down,-0.12000000000000001,running,3,1.0,2
4,"[2, 1]","[3, 1]",2,down,-0.11,running,4,3.0,1
5,"[3, 1]","[3, 0]",3,left,-0.12000000000000001,running,5,5.0,2
6,"[3, 0]","[4, 0]",2,down,-0.11,running,6,7.0,1
7,"[4, 0]","[5, 0]",2,down,-0.12000000000000001,running,7,8.0,2
8,"[5, 0]","[6, 0]",2,down,-0.13,running,8,6.0,3
9,"[6, 0]","[7, 0]",2,down,-0.14,running,9,4.0,4
10,"[7, 0]","[6, 0]",1,up,-0.13,running,10,4.0,3
11,"[6, 0]","[5, 0]",1,up,-0.12000000000000001,running,11,4.0,2
12,"[5, 0]","[5, 1]",4,right,-0.11,running,12,2.0,1
13,"[5, 1]","[5, 0]",3,left,-0.12000000000000001,running,13,2.0,2
14,"[5, 0]","[5, 1]",4,right,-0.11,running,14,2.0,1
15,"[5, 1]","[5, 0]",3,left,-0.12000000000000001,running,15,4.0,2
16,"[5, 0]","[6, 0]",2,down,-0.13,running,16,4.0,3
17,"[6, 0]","[7, 0]",2,down,-0.14,running,17,4.0,4
18,"[7, 0]","[6, 0]",1,up,-0.13,running,18,6.0,3
19,"[6, 0]","[7, 0]",2,down,-0.14,running,19,6.0,4
20,"[7, 0]","[6, 0]",1,up,-0.13,running,20,8.0,3
21,"[6, 0]","[7, 0]",2,down,-0.14,running,21,6.0,4
22,"[7, 0]","[6, 0]",1,up,-0.13,running,22,6.0,3
23,"[6, 0]","[7, 0]",2,down,-0.14,running,23,4.0,4
24,"[7, 0]","[6, 0]",1,up,-0.13,running,24,4.0,3
25,"[6, 0]","[7, 0]",2,down,-0.14,running,25,2.0,4
26,"[7, 0]","[6, 0]",1,up,-0.13,running,26,2.0,3
27,"[6, 0]","[7, 0]",2,down,-10.14,collision,27,0.0,4
