step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[4, 4]","[4, 3]",3,left,-0.12000000000000001,running,1,4.0,2
2,"[4, 3]","[4, 2]",3,left,-0.11,running,2,5.0,1
3,"[4, 2]","[4, 1]",3,left,-0.12000000000000001,running,3,5.0,2
4,"[4, 1]","[4, 0]",3,left,-0.13,running,4,5.0,3
5,"[4, 0]","[3, 0]",1,up,-0.12000000000000001,running,5,5.0,2
6,"[3, 0]","[2, 0]",1,up,-0.13,running,6,5.0,3
7,"[2, 0]","[2, 1]",4,right,-0.12000000000000001,running,7,4.0,2
8,"[2, 1]","[2, 0]",3,left,-0.13,running,8,4.0,3
9,"[2, 0]","[3, 0]",2,down,-0.12000000000000001,running,9,4.0,2
10,"[3, 0]","[4, 0]",2,down,-0.13,running,10,4.0,3
11,"[4, 0]","[3, 0]",1,up,-0.12000000000000001,running,11,2.0,2
12,"[3, 0]","[2, 0]",1,up,-0.13,running,12,2.0,3
13,"[2, 0]","[2, 1]",4,right,-0.12000000000000001,running,13,2.0,2
14,"[2, 1]","[2, 0]",3,left,-0.13,running,14,3.0,3
15,"[2, 0]","[3, 0]",2,down,-0.12000000000000001,running,15,4.0,2
16,"[3, 0]","[4, 0]",2,down,-0.13,running,16,4.0,3
17,"[4, 0]","[5, 0]",2,down,-0.14,running,17,5.0,4
18,"[5, 0]","[4, 0]",1,up,-0.13,running,18,5.0,3
19,"[4, 0]","[3, 0]",1,up,-0.12000000000000001,running,19,3.0,2
20,"[3, 0]","[4, 0]",2,down,-0.13,running,20,3.0,3
21,"[4, 0]","[5, 0]",2,down,-0.14,running,21,3.0,4
22,"[5, 0]","[4, 0]",1,up,-0.13,running,22,3.0,3
23,"[4, 0]","[3, 0]",1,up,-0.12000000000000001,running,23,4.0,2
24,"[3, 0]","[2, 0]",1,up,-0.13,running,24,2.0,3
25,"[2, 0]","[2, 1]",4,right,-0.12000000000000001,running,25,2.0,2
26,"[2, 1]","[1, 1]",1,up,-10.13,collision,26,0.0,3
