step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 7]","[7, 6]",3,left,-0.17,running,1,3.0,7
2,"[7, 6]","[7, 5]",3,left,-0.16,running,2,3.0,6
3,"[7, 5]","[7, 4]",3,left,-0.15000000000000002,running,3,3.0,5
4,"[7, 4]","[7, 3]",3,left,-0.14,running,4,3.0,4
5,"[7, 3]","[7, 2]",3,left,-0.13,running,5,1.0,3
6,"[7, 2]","[7, 1]",3,left,-0.12000000000000001,running,6,1.0,2
7,"[7, 1]","[7, 0]",3,left,-0.13,running,7,3.0,3
8,"[7, 0]","[7, 1]",4,right,-0.12000000000000001,running,8,2.0,2
9,"[7, 1]","[7, 0]",3,left,-0.13,running,9,4.0,3
10,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,10,3.0,2
11,"[6, 0]","[7, 0]",2,down,-0.13,running,11,3.0,3
12,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,12,3.0,2
13,"[6, 0]","[7, 0]",2,down,-0.13,running,13,5.0,3
14,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,14,5.0,2
15,"[6, 0]","[7, 0]",2,down,-0.13,running,15,3.0,3
16,"[7, 0]","[7, 1]",4,right,-0.12000000000000001,running,16,1.0,2
17,"[7, 1]","[7, 0]",3,left,-0.13,running,17,1.0,3
18,"[7, 0]","[7, 1]",4,right,-0.12000000000000001,running,18,1.0,2
19,"[7, 1]","[7, 2]",4,right,-0.13,running,19,1.0,3
20,"[7, 2]","[7, 1]",3,left,-0.12000000000000001,running,20,1.0,2
21,"[7, 1]","[7, 0]",3,left,-0.13,running,21,3.0,3
22,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,22,5.0,2
23,"[6, 0]","[5, 0]",1,up,-0.11,running,23,4.0,1
24,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,24,6.0,2
25,"[6, 0]","[7, 0]",2,down,-0.13,running,25,7.0,3
26,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,26,5.0,2
27,"[6, 0]","[5, 0]",1,up,-0.11,running,27,4.0,1
28,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,28,4.0,2
29,"[6, 0]","[6, 1]",4,right,-0.11,running,29,3.0,1
30,"[6, 1]","[5, 1]",1,up,9.9,success,30,2.0,0
