step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 0]","[6, 0]",1,up,-0.2,running,1,5.0,10
2,"[6, 0]","[6, 1]",4,right,-0.19,running,2,5.0,9
3,"[6, 1]","[5, 1]",1,up,-0.18,running,3,3.0,8
4,"[5, 1]","[4, 1]",1,up,-0.17,running,4,1.0,7
5,"[4, 1]","[4, 2]",4,right,-0.16,running,5,1.0,6
6,"[4, 2]","[3, 2]",1,up,-0.15000000000000002,running,6,1.0,5
7,"[3, 2]","[3, 3]",4,right,-0.14,running,7,2.0,4
8,"[3, 3]","[2, 3]",1,up,-10.13,collision,8,0.0,3
