step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[6, 11]","[6, 10]",3,left,-0.2,running,1,2.0,10
2,"[6, 10]","[6, 9]",3,left,-0.19,running,2,3.0,9
3,"[6, 9]","[6, 8]",3,left,-0.18,running,3,1.0,8
4,"[6, 8]","[6, 7]",3,left,-0.17,running,4,1.0,7
5,"[6, 7]","[6, 6]",3,left,-0.16,running,5,3.0,6
6,"[6, 6]","[6, 5]",3,left,-0.15000000000000002,running,6,3.0,5
7,"[6, 5]","[6, 4]",3,left,-0.14,running,7,3.0,4
8,"[6, 4]","[6, 3]",3,left,-0.13,running,8,2.0,3
9,"[6, 3]","[6, 2]",3,left,-10.12,collision,9,0.0,2
